,,Edad,Frecuencia,Presentaci¢n,conocebeneficios,conoceprocedencia,
,,18,1 vez a la semana,"Pescado fresco, Pescado congelado",S¡,No,
,,20,1 vez al mes,"En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,19,Casi nunca,Pescado congelado,S¡,No,
,,22,Casi nunca,Pescado congelado,No,No,
,,17,Casi nunca,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
,,26,1 vez a la semana,"Pescado fresco, Pescado congelado",S¡,No,
,,24,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,21,No consumo pescado,Pescado fresco,S¡,No,
,,19,1 vez al mes,Pescado fresco,No pero quisiera saber,No,
,,57,1 vez cada 15 d¡as,Pescado fresco,S¡,No,
,,21,No consumo pescado,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,S¡,
,,16,No consumo pescado,"En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,20,1 vez a la semana,Pescado fresco,S¡,S¡,
,,20,1 vez cada 15 d¡as,Pescado fresco,No pero quisiera saber,S¡,
,,27,Casi nunca,Pescado congelado,S¡,S¡,
,,17,Casi nunca,"En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,22,1 vez al mes,Pescado fresco,S¡,S¡,
,,32,Casi nunca,Pescado fresco,S¡,S¡,
,,20,1 vez al mes,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
,,18,Casi nunca,Pescado fresco,S¡,S¡,
,,20,1 vez a la semana,Pescado fresco,S¡,S¡,
,,19,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,18,Casi nunca,Pescado fresco,No pero quisiera saber,No,
,,20,1 vez al mes,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
,,18,Casi nunca,Pescado fresco,S¡,S¡,
,,28,1 vez a la semana,Pescado congelado,S¡,No,
,,40,No consumo pescado,Pescado fresco,S¡,S¡,
,,20,1 vez a la semana,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
,,18,1 vez a la semana,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,16,1 vez cada 15 d¡as,Pescado fresco,No,S¡,
,,22,1 vez a la semana,Pescado fresco,S¡,S¡,
,,34,1 vez al mes,Pescado congelado,S¡,No,
,,18,1 vez a la semana,"Pescado fresco, Pescado congelado",S¡,S¡,
,,20,1 vez cada 15 d¡as,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,19,1 vez al mes,"Pescado fresco, Pescado congelado",No pero quisiera saber,S¡,
,,23,1 vez cada 15 d¡as,"Pescado congelado, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
,,18,1 vez al mes,Pescado congelado,S¡,S¡,
,,20,No consumo pescado,"En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,20,1 vez a la semana,Pescado fresco,S¡,No,
,,19,1 vez a la semana,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,20,1 vez a la semana,Pescado fresco,S¡,No,
,,21,1 vez al mes,Pescado fresco,S¡,S¡,
,,18,No consumo pescado,"En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,19,1 vez a la semana,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,33,1 vez a la semana,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,29,1 vez cada 15 d¡as,Pescado fresco,S¡,No,
,,20,1 vez al mes,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,19,1 vez a la semana,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,S¡,
,,19,1 vez cada 15 d¡as,Pescado congelado,No pero quisiera saber,S¡,
,,20,1 vez a la semana,"Pescado fresco, Pescado congelado",S¡,S¡,
,,20,1 vez a la semana,Pescado fresco,S¡,S¡,
,,26,1 vez al mes,Pescado fresco,S¡,No,
,,20,1 vez a la semana,"Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,20,1 vez a la semana,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,S¡,
,,21,1 vez al mes,Pescado fresco,No,No,
,,21,Casi nunca,Pescado fresco,S¡,No,
,,26,Casi nunca,Pescado fresco,S¡,No,
,,19,1 vez al mes,Pescado fresco,No,No,
,,20,1 vez a la semana,Pescado fresco,S¡,S¡,
,,20,1 vez a la semana,Pescado congelado,S¡,No,
,,19,1 vez al mes,Pescado fresco,S¡,S¡,
,,29,No consumo pescado,Pescado fresco,No pero quisiera saber,S¡,
,,20,1 vez al mes,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,22,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,19,1 vez cada 15 d¡as,"Pescado fresco, Pescado congelado",S¡,No,
,,15,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,20,1 vez al mes,"Pescado fresco, Pescado congelado",S¡,S¡,
,,24,1 vez cada 15 d¡as,Pescado congelado,S¡,No,
,,39,Casi nunca,"En conserva (latas, salmuera, tipo surimi)",No,S¡,
,,62,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,17,1 vez al mes,Pescado fresco,S¡,No,
,,26,1 vez a la semana,Pescado fresco,No pero quisiera saber,No,
,,19,No consumo pescado,"En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No y no me interesa,
,,30,1 vez a la semana,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,19,1 vez a la semana,"Pescado congelado, En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
